Date,Imp Vol,1D IV Chg,IV Rank,IV Pctl,P/C Vol,Options Vol,P/C OI,Total OI,Last,Call Volume,Put Volume,Call OI,Put OI,WBD,PSKY,NFLX,VIX,WBD_Log_Ret,Realized_Vol,VRP,Arb_Spread,Implied_Deal_Prob,NFLX_Ret,PSKY_Ret,PSKY_NFLX_Beta,NFLX_Log_Ret,PSKY_Log_Ret,Pair_Spread,Spread_ZScore
2025-11-28,47.29,-14.43%,16.91%,46%,0.89252252252252,84028,0.61690893827597,1829775,24.0,44400,39628,1131650,698125,24.0,16.020000457763672,107.58000183105467,16.350000381469727,0.005012576967322072,34.965565474554495,12.324434525445504,7.0,63.57960508456267,0.013567010078074926,0.014566212569113501,-0.0189958403399126,0.013475802216186463,0.014461144363067838,0.013750503805639728,0.6164093707083365
2025-12-02,45.18,+45.18%,14.14%,35%,0.33864947078523,139502,0.6282113291703,1807720,24.53,104211,35291,1110249,697471,24.530000686645508,15.81999969482422,109.3499984741211,16.59000015258789,0.021843055914523103,33.43515028671119,11.744849713288808,6.469999313354492,66.33715284357444,0.01645284079699172,-0.01248444177431507,-0.022296725823826677,0.016318959303197635,-0.012563027165720868,0.01603884493096627,0.7548300458363001
2025-12-03,40.24,-4.94%,7.63%,10%,0.81453559877921,79669,0.61674156864278,1861686,24.57,43906,35763,1151505,710181,24.56999969482422,14.670000076293944,103.95999908447266,16.079999923706055,0.0016292878499521261,33.17596289074655,7.064037109253455,6.430000305175781,66.54526422558793,-0.049291261681398524,-0.0726927712208818,-0.024685465093089377,-0.05054753220193953,-0.07547034569343508,-0.052410552786118204,-1.972771918974127
2025-12-04,34.84,-5.40%,0.52%,1%,0.18111560540984,254919,0.62129720024304,1899862,24.54,215829,39090,1171816,728046,24.540000915527344,14.81999969482422,103.22000122070312,15.779999732971191,-0.0012216975221036055,33.06751642887652,1.7724835711234803,6.459999084472656,66.38918317002033,-0.007118101868856752,0.010224922818689697,0.09658038604152228,-0.007143556419947035,0.010173001920214645,-0.008126068872602513,-0.22298299426894197
2025-12-05,41.89,+7.05%,9.80%,20%,0.4264177942277,564211,0.57574244342557,2051062,26.08,395544,168667,1301648,749414,26.07999992370605,13.369999885559082,100.23999786376952,15.40999984741211,0.0608642575427533,38.732558832423784,3.1574411675762164,4.920000076293949,74.40166489105609,-0.028870406139230864,-0.09784074488014605,0.09404298666819279,-0.029295355270153152,-0.10296421672146115,-0.019612292809715867,-0.6249572448077754
2025-12-08,26.46,-15.42%,0.00%,0%,0.39855819729965,438055,0.61969795153387,1994590,27.23,313219,124836,1231458,763132,27.229999542236328,14.56999969482422,96.79000091552734,16.65999984741211,0.043150555741592135,39.86911745235671,-13.40911745235671,3.770000457763672,80.38501349955251,-0.03441736853317645,0.08975316526077592,0.13271071047899427,-0.03502359665675317,0.08595121670730235,-0.046430243692513265,-1.4973429972739096
2025-12-09,50.87,+24.40%,29.07%,58%,0.24482189853211,375086,0.63289014976678,2175671,28.26,301317,73769,1332405,843266,28.26000022888184,14.640000343322754,96.70999908447266,16.93000030517578,0.03712809548086346,41.042010592752206,9.827989407247792,2.7399997711181605,85.7440180382384,-0.0008265505764847303,0.004804437197304834,0.05100371892004256,-0.0008268923577584577,0.004792932722549098,-0.0010713497511420263,0.19841553478323498
2025-12-10,30.38,-20.49%,4.66%,1%,0.30703719123684,496018,0.62414542962577,2284687,29.53,379498,116520,1406701,877986,29.530000686645508,14.720000267028809,92.70999908447266,15.770000457763672,0.043959333652776864,42.67739282176773,-12.297392821767733,1.4699993133544922,92.35172064031538,-0.04136076970186031,0.005464475534834312,0.0465459823867663,-0.04224046851842553,0.005449599457100964,-0.04249412547877068,-1.2073927391794623
2025-12-11,29.05,-1.33%,3.08%,1%,1.1836239795179,226016,0.63005565284336,2405271,29.49,103505,122511,1475576,929695,29.489999771118164,14.119999885559082,94.08999633789062,14.850000381469728,-0.0013555039424557659,42.8354238367205,-13.7854238367205,1.510000228881836,92.14359933453183,0.014885096182134516,-0.040760894740855536,0.03692622919514912,0.014775400353610975,-0.04161490748105897,0.016312081965191485,0.9119354470445785
2025-12-12,29.45,+0.40%,3.55%,1%,0.37195635002404,319589,0.69085691734503,2527848,29.98,232944,86645,1495010,1032838,29.979999542236328,13.739999771118164,95.19000244140624,15.739999771118164,0.016479262339635523,38.48794435279748,-9.037944352797478,1.0200004577636719,94.69302578776004,0.011690999535862723,-0.026912189626117078,-0.045020943581102375,0.011623187813602805,-0.02728095382407859,0.010394973530650303,0.7553926175228197
2025-12-15,34.13,+4.69%,9.13%,2%,0.40513171322515,125297,0.68292053629695,2563401,29.71,89171,36126,1523186,1040215,29.709999084472656,13.989999771118164,93.7699966430664,16.5,-0.00904681874642829,38.96533346269659,-4.835333462696589,1.2900009155273438,93.2882367450312,-0.01491759388507119,0.018195051249237038,-0.008971675362207682,-0.01502998027905242,0.018031502180864648,-0.014868207495192763,-0.16379841297410083
2025-12-16,32.88,-1.25%,7.64%,2%,0.325411433521,146898,0.68838366283281,2608416,28.9,110832,36066,1544919,1063497,28.899999618530277,13.850000381469728,94.56999969482422,16.479999542236328,-0.02764207674031289,40.563049206308975,-7.683049206308972,2.100000381469723,89.07387954061481,0.008531546127734213,-0.010007104498847785,-0.010729571609290103,0.00849535816855895,-0.010057512140713338,0.008387445371833861,0.6303461254809449
2025-12-17,29.6,-3.28%,3.73%,2%,0.88100934723237,244503,0.69598012365592,2642393,28.21,129985,114518,1558033,1084360,28.209999084472656,13.100000381469728,94.79000091552734,17.6200008392334,-0.02416508935883769,41.6562741858989,-12.0562741858989,2.7900009155273438,85.48386640600893,0.002326332044126689,-0.05415162305724153,0.007256909284378393,0.002323630322992605,-0.05567300084935578,0.0027276442397455012,0.39244922178657266
2025-12-18,36.67,+7.07%,12.16%,6%,1.0036413262616,322997,0.73603308858057,2717331,27.61,161205,161792,1565253,1152078,27.61000061035156,13.010000228881836,94.0,16.8700008392334,-0.021498444511664015,41.5572411735427,-4.887241173542698,3.389999389648441,82.36212620941605,-0.008334222047654105,-0.006870240455504106,-0.006449600157372483,-0.008369145853426522,-0.006893949209756108,-0.008413609069334683,0.05706947789434778
2025-12-19,49.88,+13.22%,27.90%,55%,0.31019648131501,102025,0.7501285889913,2834335,27.77,77870,24155,1619501,1214834,27.770000457763672,13.050000190734863,94.38999938964844,14.90999984741211,0.005778269754575584,39.670659251471605,10.209340748528398,3.229999542236328,83.19459158501017,0.004148929677111113,0.0030745550460660187,-0.04732512136816024,0.004140346600575626,0.00306983826722482,0.004285627069152664,0.5071407140395928
2025-12-22,29.34,-20.54%,3.43%,1%,0.36327298050139,97883,0.68888715581652,2100599,28.75,71800,26083,1243777,856822,28.75,13.609999656677246,93.2300033569336,14.079999923706056,0.034681449440543605,40.02785109194104,-10.687851091941038,2.25,88.29344449146657,-0.012289395489095245,0.04291183584349412,-0.06895779646885997,-0.012365534554967321,0.04201664305320186,-0.009468159434999889,-0.1460641171327385
2025-12-23,51.48,+22.14%,29.80%,61%,0.41085410854109,94056,0.68879587975881,2135300,29.15,66666,27390,1264392,870908,29.149999618530277,13.529999732971191,93.5,14.0,0.013817132466701958,40.0349637870535,11.445036212946498,1.850000381469723,90.37460793045186,0.0028960273875859865,-0.0058780254022127165,-0.05364783129574072,0.0028918419790292128,-0.005895368990960019,0.0025755682179760485,0.3537070180543349
2025-12-24,27.58,-23.90%,1.33%,1%,1.0242883663366,26170,0.68884136722174,2167839,29.23,12928,13242,1283625,884214,29.229999542236328,13.739999771118164,93.63999938964844,13.470000267028809,0.0027406637523448014,39.09763557670616,-11.517635576706162,1.7700004577636719,90.7908406182489,0.0014973196753844675,0.015521067427312962,-0.049864079632934974,0.0014961998100042604,0.015401847689493823,0.002264198769687516,0.42455991656709235
2025-12-26,41.08,+13.50%,17.41%,18%,1.5539994360372,81516,0.69433244520508,2178022,28.8,31917,49599,1285475,892547,28.799999237060547,13.59000015258789,94.47000122070312,13.600000381469728,-0.014820202811459567,40.191230168823985,0.8887698311760133,2.200000762939453,88.55358619992596,0.008863753059212831,-0.010917002986097324,-0.0029190799420915213,0.008824700597992863,-0.010977030745130519,0.008792657767721031,0.660392303285295
2025-12-29,35.42,-5.66%,10.67%,5%,0.51784014537483,52622,0.71940691781826,2099879,28.79,34669,17953,1221281,878598,28.790000915527344,13.5,94.1500015258789,14.199999809265137,-0.00034722422667707764,38.97877189395837,-3.5587718939583652,2.2099990844726562,88.50156579725014,-0.003387315451352957,-0.006622527709887693,0.020114064298214825,-0.0033930653925848377,-0.006644553946622253,-0.0032594164072695204,0.13653532933082826
